,price,area,latitude,longitude,Bedrooms,Bathrooms,neworold,type_of_building,Price_sqft,Furnished_status_Semi-Furnished,Furnished_status_Unfurnished
248,8900000.0,1000.0,28.454517,77.081868,2.0,2.0,Resale,Flat,8900.0,True,False
249,9500000.0,1811.0,28.45251307,76.97627035,3.0,3.0,New Property,Individual House,5245.720596355604,False,False
250,4600000.0,1175.0,28.617567,77.426765,3.0,2.0,Resale,Flat,3914.893617021277,False,False
251,20000000.0,1700.0,28.5962,77.067013,3.0,3.0,Resale,Flat,11764.70588235294,False,False
252,2900000.0,554.0,28.51348116,76.971479,2.0,2.0,Resale,Flat,5234.657039711191,False,False
253,13500000.0,1500.0,28.621054,77.0905294,4.0,3.0,Resale,Flat,9000.0,False,False
254,4000000.0,1250.0,28.4189198883071,77.3555759540603,2.0,2.0,Resale,Flat,3200.0,False,True
255,28000000.0,2200.0,28.63664054870605,77.12469482421875,6.0,5.0,Resale,Flat,12727.272727272728,True,False
256,4000000.0,850.0,28.645341,77.3549293203382,2.0,2.0,Resale,Flat,4705.882352941177,False,False
257,8000000.0,1000.0,28.6005236146549,77.3116078326732,2.0,2.0,Resale,Flat,8000.0,False,False
258,12900000.0,1400.0,28.7265057161352,77.0833665378642,3.0,2.0,Resale,Flat,9214.285714285714,False,False
259,9000000.0,1325.0,28.5685416949121,77.3792999293712,3.0,2.0,Resale,Flat,6792.452830188679,False,False
260,3200000.0,840.0,28.683082,77.50921,2.0,2.0,Resale,Flat,3809.5238095238096,False,False
261,4100000.0,1065.0,28.4042306,77.3559561,3.0,2.0,New Property,Flat,3849.7652582159626,False,False
262,7000000.0,1585.0,28.605958,77.444512,3.0,3.0,Resale,Flat,4416.403785488959,True,False
263,45000000.0,2700.0,28.522932052612305,77.21456909179688,4.0,4.0,Resale,Flat,16666.666666666668,True,False
264,7500000.0,1515.0,28.5898617123258,77.4034337616235,3.0,3.0,Resale,Flat,4950.495049504951,False,False
265,7100000.0,900.0,28.63475799560547,77.0490951538086,2.0,2.0,Resale,Flat,7888.888888888889,True,False
266,7000000.0,1135.0,28.587310508382,77.3959017798717,2.0,2.0,Resale,Flat,6167.400881057269,False,False
267,8000000.0,1500.0,28.614131927490234,77.36986541748047,3.0,3.0,Resale,Flat,5333.333333333333,True,False
268,60000000.0,5000.0,28.526555,77.363882,5.0,6.0,Resale,Flat,12000.0,False,False
269,5450000.0,1470.0,28.579593,77.445197,3.0,2.0,Resale,Flat,3707.482993197279,False,False
270,22000000.0,2700.0,28.34468650817871,77.32616424560547,4.0,4.0,Resale,Flat,8148.148148148148,True,False
271,15000000.0,2275.0,28.493247,77.408015,3.0,4.0,Resale,Flat,6593.406593406594,False,False
272,4900000.0,1475.0,28.432445526123047,77.50791931152344,3.0,3.0,Resale,Flat,3322.0338983050847,False,True
273,12800000.0,1837.0,28.409389,76.951659,3.0,3.0,Resale,Flat,6967.882416984214,True,False
274,18000000.0,2400.0,28.634740829467773,77.04914855957031,4.0,2.0,Resale,Flat,7500.0,False,True
275,9000000.0,1950.0,28.509118,77.413416,4.0,3.0,Resale,Flat,4615.384615384615,False,False
276,14500000.0,1935.0,28.660121,77.379704,3.0,4.0,Resale,Flat,7493.540051679586,False,False
277,32500000.0,2400.0,28.53547477722168,77.1448974609375,3.0,3.0,Resale,Flat,13541.666666666666,False,False
278,26000000.0,2430.0,28.49748039245605,77.02710723876953,3.0,3.0,Resale,Flat,10699.588477366256,True,False
279,5900000.0,995.0,28.575883,77.3853589646162,2.0,2.0,Resale,Flat,5929.64824120603,False,False
280,4800000.0,1000.0,28.49750709533692,77.02711486816406,3.0,3.0,Resale,Flat,4800.0,False,True
281,12000000.0,1983.0,28.35895365,76.971587,3.0,3.0,Resale,Flat,6051.437216338881,False,False
